learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
15000.0,1.200515067,1.2215471440955376E-7,15000.0,0.18562279309802576,0.03707925442976459,0.1397,-9.354319275482366E-4,1.0,1427.5714285714287,0.1997124492885294,0.13959771840288202,-1842.5000000002033,15000.0,744216.0,10.0,24788.6,6575.199620121388,67391.20000000001,16739.36845217817,9.4,3.3730961708462712,5.3,1.888562063228706,5.3,1.888562063228706,3.3000000000000003,0.9486832980505138,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.423296873,1.8777703443727768E-7,16000.0,0.25042559583416785,0.11366131779234298,0.2397,-4.34175010372801E-4,1.0,713.2857142857143,0.39208354597473166,0.23913478870418586,-867.9142857143263,16000.0,1138608.0,10.0,30224.2,10477.054980607225,106792.0,29140.509017135886,10.6,3.7475918193480524,5.9,2.024845673131659,5.9,2.024845673131659,3.4000000000000004,1.0749676997731399,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.539600832,2.2203537785868474E-7,17000.0,0.34184644216188376,0.16129216151508405,0.3397,-7.566830287509798E-5,1.0,713.2857142857143,0.4670175023342071,0.3392749849789706,-800.7928571428946,17000.0,1138608.0,10.0,30390.8,10344.923970506286,106792.0,29140.509017135886,10.6,3.7475918193480524,5.9,2.024845673131659,5.9,2.024845673131659,3.4000000000000004,1.0749676997731399,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.680996006,2.646095676270397E-7,18000.0,0.4336213556121427,0.2087803953361909,0.4397,4.103972732664451E-4,1.0,713.2857142857143,0.5314895934530071,0.4394151812537553,-719.385714285725,18000.0,1163896.0,10.0,32556.5,11812.351560501782,109318.4,31505.79167638159,10.8,4.049691346263318,6.0,2.211083193570267,6.0,2.211083193570267,3.4000000000000004,1.0749676997731399,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,1.801326414,3.008411410263947E-7,19000.0,0.5253640811421705,0.25631083184143366,0.5397,0.0011068335229846087,1.0,713.2857142857143,0.5889456922426756,0.53955537752854,-623.6928571428665,19000.0,1163896.0,10.0,32726.7,11679.202104120335,109318.4,31505.79167638159,10.8,4.049691346263318,6.0,2.211083193570267,6.0,2.211083193570267,3.4000000000000004,1.0749676997731399,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.913400669,3.345867807503997E-7,20000.0,0.616956596377786,0.30389117038101376,0.6397,0.0021879307443651652,1.0,713.2857142857143,0.6412744099631341,0.6396955738033246,-513.7142857142607,20000.0,1163896.0,10.0,32899.1,11553.814766368532,109318.4,31505.79167638159,10.8,4.049691346263318,6.0,2.211083193570267,6.0,2.211083193570267,3.4000000000000004,1.0749676997731399,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,2.046421858,3.746395575424719E-7,21000.0,0.7090963062573317,0.3512950034763679,0.7397,0.004093965781235313,0.616956596377786,713.2857142857143,0.6896439003833263,0.7398357700781093,-389.44999999997793,21000.0,1163896.0,10.0,33070.399999999994,11430.298977328246,109318.4,31505.79167638159,10.8,4.049691346263318,6.0,2.211083193570267,6.0,2.211083193570267,3.4000000000000004,1.0749676997731399,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,2.161685722,4.093455908570874E-7,22000.0,0.8007853852536408,0.39884580551701937,0.8397,0.00835162181215564,0.616956596377786,713.2857142857143,0.7348364102290312,0.8399759663528941,-250.8999999999918,22000.0,1163896.0,10.0,33240.7,11322.096920525712,109318.4,31505.79167638159,10.8,4.049691346263318,6.0,2.211083193570267,6.0,2.211083193570267,3.4000000000000004,1.0749676997731399,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,2.254738866,4.3736396021952443E-7,23000.0,0.8919165402992761,0.4465796000433755,0.9397,0.026320667643681333,0.616956596377786,713.2857142857143,0.7774061938656334,0.9401161626276787,-98.06428571428488,23000.0,1163896.0,10.0,33415.4,11219.797474900239,109318.4,31505.79167638159,10.8,4.049691346263318,6.0,2.211083193570267,6.0,2.211083193570267,3.4000000000000004,1.0749676997731399,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,2.33773594,4.6235443958831956E-7,24000.0,0.9408808373963075,0.43496250386893887,0.999,0.6148839645384895,0.616956596377786,768.2307692307693,0.784268144550221,0.9994993491539,-0.7142857142855783,24000.0,1163896.0,10.0,33584.5,11130.628466333586,109318.4,31505.79167638159,10.8,4.049691346263318,6.0,2.211083193570267,6.0,2.211083193570267,3.4000000000000004,1.0749676997731399,0.0,0.0,0.0,0.0,1.0,0.0
