learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),member weight 1,member weight 2,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
1000.0,0.055984435,2.504437256449212E-9,1000.0,1.0,1.0,0.999,0.0,0.0,1.7976931348623157E308,?,0.999,-Infinity,1000.0,172920.0,0.5263157894736842,0.4736842105263158,1000.0,0.0,73968.0,102389.06191581208
2000.0,0.116901713,5.282494308333843E-9,2000.0,1.0,1.0,0.9995,0.0,0.0,1.7976931348623157E308,?,0.9995,-Infinity,2000.0,176280.0,0.5263157894736842,0.4736842105263158,2000.0,0.0,75648.0,104764.94070059888
3000.0,0.176160297,8.036418273579328E-9,3000.0,1.0,1.0,0.9996666666666667,0.0,0.0,1.7976931348623157E308,?,0.9996666666666667,-Infinity,3000.0,179640.0,0.5263157894736842,0.4736842105263158,3000.0,0.0,77328.0,107140.81948538568
4000.0,0.217422511,9.953996999282388E-9,4000.0,1.0,1.0,0.99975,0.0,0.0,1.7976931348623157E308,?,0.99975,-Infinity,4000.0,179640.0,0.5263157894736842,0.4736842105263158,4000.0,0.0,77328.0,107140.81948538568
5000.0,0.255257714,1.1712312254868445E-8,5000.0,1.0,1.0,0.9998,0.0,0.0,1.7976931348623157E308,?,0.9998,-Infinity,5000.0,179640.0,0.5263157894736842,0.4736842105263158,5000.0,0.0,77328.0,107140.81948538568
6000.0,0.30178944,1.3915227970232563E-8,6000.0,1.0,1.0,0.9998333333333334,0.0,0.0,1.7976931348623157E308,?,0.9998333333333334,-Infinity,6000.0,183000.0,0.5263157894736842,0.4736842105263158,6000.0,0.0,79008.0,109516.69827017248
7000.0,0.363560059,1.6839586876301712E-8,7000.0,1.0,1.0,0.9998571428571429,0.0,0.0,1.7976931348623157E308,?,0.9998571428571429,-Infinity,7000.0,183000.0,0.5263157894736842,0.4736842105263158,7000.0,0.0,79008.0,109516.69827017248
8000.0,0.424560285,1.9727473659099385E-8,8000.0,1.0,1.0,0.999875,0.0,0.0,1.7976931348623157E308,?,0.999875,-Infinity,8000.0,183000.0,0.5263157894736842,0.4736842105263158,8000.0,0.0,79008.0,109516.69827017248
9000.0,0.486116565,2.2641685278744743E-8,9000.0,1.0,1.0,0.9998888888888889,0.0,0.0,1.7976931348623157E308,?,0.9998888888888889,-Infinity,9000.0,183000.0,0.5263157894736842,0.4736842105263158,9000.0,0.0,79008.0,109516.69827017248
10000.0,0.546146725,2.548364697300518E-8,10000.0,1.0,1.0,0.9999,0.0,0.0,1.7976931348623157E308,?,0.9999,-Infinity,10000.0,183000.0,0.5263157894736842,0.4736842105263158,10000.0,0.0,79008.0,109516.69827017248
11000.0,0.60851802,2.8490658496320243E-8,11000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,11000.0,186360.0,0.5263157894736842,0.4736842105263158,11000.0,0.0,80688.0,111892.57705495929
12000.0,0.672566602,3.157853448359916E-8,12000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,12000.0,186360.0,0.5263157894736842,0.4736842105263158,12000.0,0.0,80688.0,111892.57705495929
13000.0,0.738890356,3.477609984676042E-8,13000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,13000.0,186360.0,0.5263157894736842,0.4736842105263158,13000.0,0.0,80688.0,111892.57705495929
14000.0,0.806206651,3.802151706588143E-8,14000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,14000.0,186360.0,0.5263157894736842,0.4736842105263158,14000.0,0.0,80688.0,111892.57705495929
15000.0,0.872383362,4.121199327055364E-8,15000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,15000.0,186360.0,0.5263157894736842,0.4736842105263158,15000.0,0.0,80688.0,111892.57705495929
16000.0,0.930841372,4.403033958996335E-8,16000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,16000.0,186360.0,0.5263157894736842,0.4736842105263158,16000.0,0.0,80688.0,111892.57705495929
17000.0,0.994341589,4.7091778097084406E-8,17000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,17000.0,186360.0,0.5263157894736842,0.4736842105263158,17000.0,0.0,80688.0,111892.57705495929
