learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),member weight 1,member weight 2,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
13000.0,0.37825186,1.5006203807586184E-8,13000.0,0.738372674534907,-0.24610143204748358,0.9997,-1.3335111341161276E-4,0.7382976595319064,4999.0,0.0,0.9998999799959992,-0.949999999999567,13000.0,244376.0,0.7973295310983515,0.20267046890164855,13000.0,0.0,104668.0,145805.4182806661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14000.0,0.408552425,1.6923129894611324E-8,14000.0,0.738372674534907,-0.24610143204748358,0.9997,-1.3335111341161276E-4,0.7382976595319064,4999.0,0.0,0.9998999799959992,-1.1000000000002332,14000.0,244544.0,0.7973295310983515,0.20267046890164855,14000.0,0.0,104752.0,145924.21221990543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15000.0,0.448265937,1.943555390915316E-8,15000.0,0.738372674534907,-0.24610143204748358,0.9997,-1.3335111341161276E-4,0.7382976595319064,4999.0,0.0,0.9998999799959992,-1.25,15000.0,244544.0,0.7973295310983515,0.20267046890164855,15000.0,0.0,104752.0,145924.21221990543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16000.0,0.49117573,2.2367406850248163E-8,16000.0,0.7382976595319064,-0.2460764293621187,0.9996,-2.0004000789630906E-4,0.7382976595319064,4999.0,0.0,0.9997999599919984,-2.199999999998579,16000.0,264112.0,0.8138233266192538,0.18617667338074617,16000.0,0.0,114528.0,159749.5640056648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17000.0,0.533273576,2.5243782730431607E-8,17000.0,0.7382976595319064,-0.2460764293621187,0.9996,-2.0004000789630906E-4,0.7382976595319064,4999.0,0.0,0.9997999599919984,-2.3999999999988675,17000.0,264112.0,0.8138233266192538,0.18617667338074617,17000.0,0.0,114528.0,159749.5640056648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18000.0,0.579287851,2.838775239467828E-8,18000.0,1.0,1.0,0.9999,0.0,0.7382976595319064,1.7976931348623157E308,?,0.9999,0.09999999999970025,18000.0,264112.0,0.8138233266192538,0.18617667338074617,18000.0,0.0,114528.0,159749.5640056648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19000.0,0.625638363,3.155671024882338E-8,19000.0,1.0,1.0,0.9999,0.0,0.7382976595319064,1.7976931348623157E308,?,0.9999,0.04999999999994727,19000.0,264280.0,0.8138233266192538,0.18617667338074617,19000.0,0.0,114612.0,159868.35794490416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000.0,0.669341435,3.454656356311714E-8,20000.0,1.0,1.0,0.9999,0.0,0.7382976595319064,1.7976931348623157E308,?,0.9999,0.0,20000.0,264448.0,0.8138233266192538,0.18617667338074617,20000.0,0.0,114696.0,159987.1518841435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21000.0,0.711535218,3.7433162060017804E-8,21000.0,1.0,1.0,0.9999,0.0,1.0,1.7976931348623157E308,?,0.9999,-0.04999999999930056,21000.0,264448.0,0.8138233266192538,0.18617667338074617,21000.0,0.0,114696.0,159987.1518841435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22000.0,0.737436167,3.9205120750038574E-8,22000.0,1.0,1.0,0.9999,0.0,1.0,1.7976931348623157E308,?,0.9999,-0.09999999999926726,22000.0,264448.0,0.8138233266192538,0.18617667338074617,22000.0,0.0,114696.0,159987.1518841435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
