learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.082999183,8.090630006665986E-9,1000.0,1.0,1.0,0.0,0.0,0.0,1.7976931348623157E308,?,0.0,-Infinity,1000.0,376800.0,15.0,536.4666666666667,136.45505103286195,18928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.1418985,1.3832042925059797E-8,2000.0,1.0,1.0,0.0,0.0,0.0,1.7976931348623157E308,?,0.0,-Infinity,2000.0,376800.0,15.0,1064.9999999999998,268.27571105647473,18928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.194397698,1.900890663661063E-8,3000.0,1.0,1.0,0.0,0.0,0.0,1.7976931348623157E308,?,0.0,-Infinity,3000.0,381168.0,15.0,1597.5333333333333,416.9285424671828,19219.2,21.971409994418696,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.24921169,2.441402855999768E-8,4000.0,1.0,1.0,0.0,0.0,0.0,1.7976931348623157E308,?,0.0,-Infinity,4000.0,381168.0,15.0,2127.133333333333,543.4095885723593,19219.2,21.971409994418696,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.289603221,2.8396974186860025E-8,5000.0,1.0,1.0,0.0,0.0,0.0,1.7976931348623157E308,?,0.0,-Infinity,5000.0,381168.0,15.0,2660.6,673.7762239794455,19219.2,21.971409994418696,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.327554683,3.213930843029171E-8,6000.0,1.0,1.0,0.0,0.0,0.0,1.7976931348623157E308,?,0.0,-Infinity,6000.0,381168.0,15.0,3191.9999999999995,810.131470811991,19219.2,21.971409994418696,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.374346715,3.675339743886143E-8,7000.0,1.0,1.0,0.0,0.0,0.0,1.7976931348623157E308,?,0.0,-Infinity,7000.0,381168.0,15.0,3723.8,932.8289691654552,19219.2,21.971409994418696,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.532235757,6.923806428328572E-8,8000.0,0.3015753938484621,0.06260233489293898,0.069,3.692130056959836E-5,0.0,3999.0,0.2622349934656881,0.06876719179794949,-3723.0000000004097,8000.0,795296.0,15.0,6702.2,3171.13299266096,46842.13333333334,16399.626327914855,7.200000000000002,14.62971535705912,6.0,14.667748877822293,6.0,14.667748877822293,1.2,0.41403933560541245,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.600729099,8.498015308748104E-8,9000.0,0.379195376750389,0.15696883372758258,0.17244444444444446,9.248458341662141E-5,0.0,4499.0,0.41504277169208953,0.17226050233385196,-3722.9999999997895,9000.0,888416.0,15.0,6929.466666666666,3561.681783063939,53044.799999999996,39721.905959162774,7.200000000000002,14.62971535705912,6.0,14.667748877822293,6.0,14.667748877822293,1.2,0.41403933560541245,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.667846013,1.0063522520065309E-7,10000.0,0.4412882576515303,0.2324493504344466,0.2552,1.369307640467276E-4,0.0,4999.0,0.505025752018687,0.2550510102020404,-3723.00000000041,10000.0,901624.0,15.0,9623.2,3860.8777351418794,53922.666666666664,39684.92223694511,7.6,14.529772390312441,6.200000000000001,14.615060725156088,6.200000000000001,14.615060725156088,1.4000000000000001,0.50709255283711,0.0,0.0,0.0,0.0,1.0,0.0
