learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
25000.0,0.473155256,2.3168932557437156E-9,25000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,25000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,0.485105852,2.375411585453484E-9,26000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,26000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,0.497661456,2.436892450054487E-9,27000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,27000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,0.518974479,2.5412556556239727E-9,28000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,28000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29000.0,0.532698833,2.608459523316059E-9,29000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,29000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,0.544993762,2.6686639439976877E-9,30000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,30000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
31000.0,0.558791401,2.7362266654065912E-9,31000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,31000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
32000.0,0.570989884,2.7959588202006286E-9,32000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,32000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
33000.0,0.583151269,2.8555093176952664E-9,33000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,33000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
34000.0,0.595467701,2.915819031840397E-9,34000.0,1.0,1.0,1.0,?,1.0,1.7976931348623157E308,?,1.0,?,34000.0,18928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
